Weight	Zone 2	Zone 3	Zone 4	Zone 5	Zone 6	Zone 7	Zone 8
0	$14.83	$14.88	$14.94	$15.05	$17.21	$17.91	$19.88
1	$14.83	$14.88	$14.94	$15.05	$17.21	$17.91	$19.88
2	$15.10	$15.15	$15.21	$15.32	$18.34	$19.96	$23.09
3	$15.53	$16.56	$16.88	$16.99	$21.31	$22.33	$26.08
4	$15.80	$17.10	$18.34	$19.09	$23.63	$25.51	$29.82
5	$16.07	$17.37	$19.36	$20.93	$26.81	$28.16	$33.45
6	$17.37	$18.93	$22.11	$23.41	$29.88	$31.29	$38.05
7	$17.64	$20.77	$23.89	$25.14	$33.23	$35.39	$41.74
8	$18.33	$22.71	$25.73	$27.02	$36.47	$38.73	$45.59
9	$18.60	$22.98	$27.46	$29.18	$39.11	$42.51	$49.12
10	$18.87	$23.25	$28.97	$31.39	$41.54	$45.74	$52.96
11	$22.17	$25.67	$31.07	$33.17	$44.34	$49.04	$56.76
12	$22.65	$28.21	$32.53	$35.12	$47.09	$52.16	$59.97
13	$24.70	$29.67	$34.15	$37.17	$50.01	$54.92	$63.60
14	$24.97	$29.98	$36.03	$39.38	$52.54	$57.83	$66.91
15	$25.24	$31.83	$37.65	$41.10	$55.40	$60.26	$70.66
16	$26.65	$32.85	$38.95	$42.40	$57.72	$63.39	$73.81
17	$27.51	$33.88	$40.57	$44.45	$60.04	$66.57	$77.12
18	$29.24	$34.95	$42.13	$46.12	$62.20	$69.59	$79.74
19	$29.99	$36.14	$43.59	$47.79	$64.30	$72.45	$82.63
20	$30.26	$37.71	$45.69	$49.79	$66.68	$75.20	$86.16
21	$32.31	$39.16	$47.42	$51.46	$69.86	$77.84	$88.99
22	$33.23	$41.05	$49.25	$53.14	$72.29	$80.65	$92.30
23	$34.68	$41.97	$51.09	$54.70	$75.26	$83.29	$95.30
24	$35.55	$43.59	$52.38	$56.75	$77.74	$86.15	$98.61
25	$35.82	$44.88	$54.11	$58.69	$79.95	$89.07	$101.87
26	$38.08	$46.12	$55.89	$60.58	$82.43	$92.14	$104.97
27	$39.32	$47.26	$57.99	$62.63	$84.59	$95.38	$108.23
28	$40.51	$48.71	$59.45	$64.20	$87.50	$98.29	$111.71
29	$41.70	$49.90	$61.17	$65.87	$90.09	$101.21	$115.18
30	$41.97	$51.25	$62.85	$67.92	$92.95	$103.87	$118.49
31	$42.67	$52.76	$63.12	$69.48	$95.81	$104.17	$121.70
32	$44.72	$54.16	$66.73	$71.32	$98.18	$110.00	$125.17
33	$45.96	$55.56	$68.19	$73.26	$101.04	$112.86	$128.54
34	$46.88	$55.83	$69.75	$75.04	$103.58	$115.50	$132.44
35	$47.79	$58.31	$71.75	$76.93	$105.90	$118.42	$135.60
36	$49.14	$59.61	$73.42	$77.20	$108.81	$120.84	$138.64
37	$49.41	$60.04	$74.72	$80.49	$111.02	$123.27	$141.80
38	$49.68	$60.31	$76.87	$82.38	$113.34	$125.75	$144.47
39	$49.95	$60.58	$78.17	$84.21	$116.04	$128.02	$147.30
40	$50.22	$60.85	$78.44	$84.97	$118.69	$130.72	$149.98
41	$54.54	$66.25	$81.24	$87.99	$120.68	$133.14	$153.18
42	$55.51	$67.86	$83.08	$90.25	$123.27	$135.95	$156.50
43	$56.59	$69.27	$84.64	$91.93	$125.75	$138.97	$160.13
44	$57.51	$69.75	$86.53	$93.81	$128.02	$141.94	$163.55
45	$57.78	$70.24	$86.80	$95.86	$130.53	$144.90	$166.87
46	$58.91	$70.51	$90.09	$97.54	$130.82	$147.76	$170.87
47	$59.18	$70.78	$91.71	$99.64	$136.43	$150.79	$174.24
48	$59.45	$71.05	$92.57	$101.31	$139.33	$153.75	$177.19
49	$59.72	$71.32	$92.84	$103.20	$139.62	$155.42	$177.49
50	$59.99	$71.59	$93.11	$103.47	$139.89	$155.69	$177.98
51	$62.93	$76.53	$97.81	$104.08	$144.15	$157.10	$187.71
52	$63.23	$77.72	$99.64	$104.37	$150.26	$160.22	$190.76
53	$65.76	$82.27	$101.20	$110.16	$150.88	$166.54	$194.11
54	$66.03	$83.13	$101.47	$112.21	$151.22	$167.18	$194.45
55	$66.84	$83.89	$104.71	$113.88	$157.85	$175.13	$201.13
56	$67.11	$84.16	$105.04	$115.93	$159.79	$175.93	$201.80
57	$68.03	$84.43	$107.91	$117.71	$160.06	$182.18	$208.56
58	$68.30	$84.70	$108.20	$119.55	$164.96	$185.91	$211.98
59	$68.57	$84.97	$108.47	$121.11	$165.46	$188.83	$215.88
60	$68.84	$85.29	$108.76	$121.38	$168.53	$189.14	$219.78
61	$72.61	$91.69	$114.56	$125.48	$174.04	$195.29	$223.31
62	$73.80	$92.33	$116.42	$127.21	$177.06	$198.64	$223.67
63	$76.44	$95.43	$116.80	$129.21	$180.08	$201.82	$230.69
64	$76.71	$96.35	$117.07	$130.93	$182.92	$205.01	$234.37
65	$76.98	$98.35	$121.53	$132.39	$183.21	$208.19	$237.69
66	$77.25	$99.26	$121.98	$132.66	$185.91	$211.10	$241.75
67	$77.52	$99.53	$122.25	$132.93	$186.18	$211.40	$245.54
68	$77.79	$99.80	$126.51	$138.03	$186.45	$211.67	$249.00
69	$78.06	$100.07	$126.94	$138.54	$186.72	$212.13	$249.39
70	$80.16	$103.26	$128.45	$142.05	$191.57	$221.19	$257.09
71	$80.43	$106.19	$132.17	$143.23	$192.06	$226.69	$261.10
72	$80.70	$106.49	$133.11	$145.23	$201.03	$229.53	$264.73
73	$85.55	$106.76	$133.38	$146.95	$201.93	$229.82	$265.35
74	$86.04	$107.03	$133.65	$147.28	$202.20	$230.09	$265.62
75	$86.31	$107.30	$133.92	$147.55	$202.47	$232.47	$265.96
76	$86.58	$107.57	$134.19	$147.82	$202.90	$236.08	$272.75
77	$86.85	$107.84	$134.46	$148.09	$203.17	$238.97	$279.75
78	$87.12	$108.11	$134.73	$148.36	$203.44	$239.26	$280.45
79	$87.39	$108.38	$135.00	$148.63	$203.71	$240.23	$283.70
80	$87.66	$108.65	$135.27	$148.90	$203.98	$240.50	$284.03
81	$87.93	$110.45	$135.54	$149.46	$204.58	$241.41	$284.30
82	$90.47	$115.58	$140.86	$160.66	$216.55	$259.61	$285.69
83	$92.46	$116.10	$144.47	$162.55	$222.92	$261.44	$293.02
84	$92.73	$118.85	$153.05	$168.64	$223.56	$261.71	$293.76
85	$93.00	$124.40	$154.56	$172.47	$226.99	$262.62	$307.89
86	$95.22	$124.96	$155.86	$173.93	$227.34	$266.79	$309.31
87	$95.49	$125.56	$156.13	$174.20	$228.69	$267.21	$309.58
88	$95.76	$125.83	$156.40	$175.76	$228.96	$267.48	$309.85
89	$96.03	$126.10	$156.67	$176.03	$229.23	$267.75	$310.12
90	$96.30	$126.40	$156.94	$176.30	$229.50	$268.02	$310.39
91	$98.55	$132.25	$160.07	$176.57	$229.77	$268.29	$310.66
92	$98.82	$132.84	$160.39	$176.84	$234.07	$268.56	$310.93
93	$99.09	$133.11	$165.66	$177.11	$234.50	$269.94	$311.20
94	$99.36	$133.38	$166.19	$177.43	$234.77	$270.21	$311.47
