Weight	Zone 2	Zone 3	Zone 4	Zone 5	Zone 6	Zone 7	Zone 8
0	$49.77	$53.94	$60.04	$62.14	$62.15	$65.40	$67.12
1	$54.09	$64.64	$75.46	$81.16	$83.96	$89.73	$91.43
2	$54.43	$67.12	$79.82	$85.08	$91.32	$93.97	$98.84
3	$57.59	$70.36	$85.38	$93.23	$98.15	$102.81	$105.46
4	$59.90	$72.63	$92.19	$99.42	$104.67	$109.25	$112.29
5	$60.60	$73.36	$94.50	$101.97	$107.58	$111.66	$114.78
6	$64.92	$76.87	$101.69	$112.29	$116.16	$122.46	$126.53
7	$65.36	$79.62	$104.99	$116.42	$122.40	$126.59	$133.26
8	$65.70	$81.10	$109.92	$124.31	$130.82	$132.41	$136.54
9	$66.18	$81.45	$116.58	$128.28	$131.81	$139.56	$141.61
10	$66.52	$81.86	$117.48	$129.08	$132.85	$140.62	$142.72
11	$71.48	$90.06	$130.59	$145.01	$153.65	$161.80	$164.92
12	$73.28	$92.12	$132.90	$150.47	$159.73	$165.82	$172.34
13	$73.90	$94.51	$135.26	$156.03	$165.08	$173.08	$179.27
14	$74.67	$94.86	$143.49	$159.11	$167.13	$175.81	$181.43
15	$75.01	$95.21	$144.32	$159.73	$167.62	$176.41	$181.92
16	$76.73	$102.18	$153.09	$172.02	$177.42	$188.38	$191.61
17	$80.93	$104.45	$156.71	$176.21	$184.14	$190.07	$195.26
18	$81.36	$104.89	$157.49	$176.63	$187.59	$190.45	$199.61
19	$81.70	$105.24	$163.04	$177.21	$187.97	$192.87	$200.98
20	$81.98	$105.56	$163.60	$177.49	$188.28	$193.29	$201.72
21	$84.34	$109.12	$171.70	$183.05	$194.41	$201.59	$216.39
22	$86.92	$113.62	$178.95	$194.95	$205.43	$213.32	$220.36
23	$87.25	$114.07	$183.14	$199.13	$207.97	$220.20	$228.13
24	$88.82	$114.42	$186.81	$201.17	$208.89	$220.90	$228.91
25	$89.14	$114.77	$188.02	$201.67	$209.58	$221.54	$229.36
26	$92.88	$121.67	$196.25	$211.52	$223.38	$234.24	$238.26
27	$93.26	$122.36	$200.40	$215.60	$227.46	$237.31	$243.50
28	$94.63	$122.70	$205.01	$219.30	$229.44	$241.91	$251.97
29	$94.96	$123.04	$209.16	$222.03	$229.78	$242.37	$252.91
30	$95.26	$123.34	$209.58	$222.51	$230.52	$242.89	$253.34
31	$97.82	$126.03	$217.13	$232.01	$245.20	$253.19	$261.94
32	$99.83	$128.37	$221.12	$236.30	$249.48	$257.53	$262.90
33	$101.53	$134.03	$224.94	$240.43	$255.47	$261.66	$273.74
34	$103.12	$134.60	$229.28	$247.64	$259.97	$270.80	$278.50
35	$104.72	$134.92	$229.72	$248.37	$260.42	$271.72	$282.37
36	$107.91	$137.02	$237.90	$252.77	$261.89	$276.12	$288.56
37	$108.47	$144.32	$242.94	$262.34	$274.00	$286.65	$291.74
38	$108.79	$145.05	$246.40	$263.30	$278.77	$287.71	$296.08
39	$111.30	$145.37	$250.30	$266.31	$284.30	$293.11	$300.48
40	$111.62	$145.69	$250.70	$266.88	$284.86	$293.65	$301.06
41	$115.32	$151.28	$258.67	$278.13	$295.13	$300.00	$312.55
42	$116.60	$151.84	$263.18	$283.58	$299.68	$300.64	$313.70
43	$118.97	$153.83	$267.80	$288.72	$305.24	$310.85	$330.29
44	$121.03	$160.43	$271.89	$293.65	$310.04	$314.51	$331.98
45	$122.31	$165.57	$276.24	$298.41	$310.52	$323.54	$332.47
46	$124.89	$166.09	$280.54	$298.90	$312.30	$324.45	$342.15
47	$126.07	$168.11	$282.84	$304.80	$314.90	$324.78	$346.35
48	$126.39	$168.43	$283.17	$305.39	$315.23	$325.11	$346.77
