service_id,zone,weight,price,year
1,2,1,6.61,2015 - Standard List Rates
1,3,1,7.15,2015 - Standard List Rates
1,4,1,7.35,2015 - Standard List Rates
1,5,1,7.67,2015 - Standard List Rates
1,6,1,7.94,2015 - Standard List Rates
1,7,1,8.05,2015 - Standard List Rates
1,8,1,8.17,2015 - Standard List Rates
1,2,2,7.24,2015 - Standard List Rates
1,3,2,7.8,2015 - Standard List Rates
1,4,2,8.42,2015 - Standard List Rates
1,5,2,8.6,2015 - Standard List Rates
1,6,2,8.97,2015 - Standard List Rates
1,7,2,9.16,2015 - Standard List Rates
1,8,2,9.41,2015 - Standard List Rates
1,2,3,7.35,2015 - Standard List Rates
1,3,3,8.13,2015 - Standard List Rates
1,4,3,8.88,2015 - Standard List Rates
1,5,3,9.15,2015 - Standard List Rates
1,6,3,9.53,2015 - Standard List Rates
1,7,3,9.85,2015 - Standard List Rates
1,8,3,10.41,2015 - Standard List Rates
1,2,4,7.59,2015 - Standard List Rates
1,3,4,8.33,2015 - Standard List Rates
1,4,4,9.31,2015 - Standard List Rates
1,5,4,9.73,2015 - Standard List Rates
1,6,4,10.01,2015 - Standard List Rates
1,7,4,10.48,2015 - Standard List Rates
1,8,4,11.15,2015 - Standard List Rates
1,2,5,7.7,2015 - Standard List Rates
1,3,5,8.39,2015 - Standard List Rates
1,4,5,9.65,2015 - Standard List Rates
1,5,5,10.09,2015 - Standard List Rates
1,6,5,10.33,2015 - Standard List Rates
1,7,5,10.87,2015 - Standard List Rates
1,8,5,11.7,2015 - Standard List Rates
1,2,6,7.97,2015 - Standard List Rates
1,3,6,8.63,2015 - Standard List Rates
1,4,6,9.77,2015 - Standard List Rates
1,5,6,10.29,2015 - Standard List Rates
1,6,6,10.58,2015 - Standard List Rates
1,7,6,11.14,2015 - Standard List Rates
1,8,6,11.91,2015 - Standard List Rates
1,2,7,8.33,2015 - Standard List Rates
1,3,7,8.85,2015 - Standard List Rates
1,4,7,9.94,2015 - Standard List Rates
1,5,7,10.52,2015 - Standard List Rates
1,6,7,10.77,2015 - Standard List Rates
1,7,7,11.44,2015 - Standard List Rates
1,8,7,12.25,2015 - Standard List Rates
1,2,8,8.56,2015 - Standard List Rates
1,3,8,9.06,2015 - Standard List Rates
1,4,8,10.1,2015 - Standard List Rates
1,5,8,10.72,2015 - Standard List Rates
1,6,8,11.1,2015 - Standard List Rates
1,7,8,11.79,2015 - Standard List Rates
1,8,8,12.79,2015 - Standard List Rates
1,2,9,8.72,2015 - Standard List Rates
1,3,9,9.28,2015 - Standard List Rates
1,4,9,10.24,2015 - Standard List Rates
1,5,9,10.8,2015 - Standard List Rates
1,6,9,11.33,2015 - Standard List Rates
1,7,9,12.28,2015 - Standard List Rates
1,8,9,13.59,2015 - Standard List Rates
1,2,10,9.01,2015 - Standard List Rates
1,3,10,9.32,2015 - Standard List Rates
1,4,10,10.4,2015 - Standard List Rates
1,5,10,11.11,2015 - Standard List Rates
1,6,10,11.79,2015 - Standard List Rates
1,7,10,13.12,2015 - Standard List Rates
1,8,10,14.49,2015 - Standard List Rates
1,2,11,9.4,2015 - Standard List Rates
1,3,11,9.69,2015 - Standard List Rates
1,4,11,10.5,2015 - Standard List Rates
1,5,11,11.29,2015 - Standard List Rates
1,6,11,12.19,2015 - Standard List Rates
1,7,11,14.09,2015 - Standard List Rates
1,8,11,15.45,2015 - Standard List Rates
1,2,12,9.55,2015 - Standard List Rates
1,3,12,9.99,2015 - Standard List Rates
1,4,12,10.59,2015 - Standard List Rates
1,5,12,11.45,2015 - Standard List Rates
1,6,12,12.51,2015 - Standard List Rates
1,7,12,14.79,2015 - Standard List Rates
1,8,12,16.33,2015 - Standard List Rates
1,2,13,9.78,2015 - Standard List Rates
1,3,13,10.23,2015 - Standard List Rates
1,4,13,10.73,2015 - Standard List Rates
1,5,13,11.66,2015 - Standard List Rates
1,6,13,13.02,2015 - Standard List Rates
1,7,13,15.7,2015 - Standard List Rates
1,8,13,17.39,2015 - Standard List Rates
1,2,14,10.03,2015 - Standard List Rates
1,3,14,10.51,2015 - Standard List Rates
1,4,14,10.83,2015 - Standard List Rates
1,5,14,11.83,2015 - Standard List Rates
1,6,14,13.64,2015 - Standard List Rates
1,7,14,16.67,2015 - Standard List Rates
1,8,14,18.39,2015 - Standard List Rates
1,2,15,10.09,2015 - Standard List Rates
1,3,15,10.84,2015 - Standard List Rates
1,4,15,11.05,2015 - Standard List Rates
1,5,15,12.38,2015 - Standard List Rates
1,6,15,14.26,2015 - Standard List Rates
1,7,15,17.35,2015 - Standard List Rates
1,8,15,19.32,2015 - Standard List Rates
1,2,16,10.2,2015 - Standard List Rates
1,3,16,10.94,2015 - Standard List Rates
1,4,16,11.09,2015 - Standard List Rates
1,5,16,12.58,2015 - Standard List Rates
1,6,16,14.73,2015 - Standard List Rates
1,7,16,18.08,2015 - Standard List Rates
1,8,16,19.9,2015 - Standard List Rates
1,2,17,10.38,2015 - Standard List Rates
1,3,17,11.28,2015 - Standard List Rates
1,4,17,11.32,2015 - Standard List Rates
1,5,17,13.05,2015 - Standard List Rates
1,6,17,15.48,2015 - Standard List Rates
1,7,17,19.01,2015 - Standard List Rates
1,8,17,20.86,2015 - Standard List Rates
1,2,18,10.4,2015 - Standard List Rates
1,3,18,11.43,2015 - Standard List Rates
1,4,18,11.65,2015 - Standard List Rates
1,5,18,13.69,2015 - Standard List Rates
1,6,18,16.12,2015 - Standard List Rates
1,7,18,19.59,2015 - Standard List Rates
1,8,18,21.87,2015 - Standard List Rates
1,2,19,10.43,2015 - Standard List Rates
1,3,19,11.77,2015 - Standard List Rates
1,4,19,11.83,2015 - Standard List Rates
1,5,19,13.95,2015 - Standard List Rates
1,6,19,16.65,2015 - Standard List Rates
1,7,19,20.19,2015 - Standard List Rates
1,8,19,22.68,2015 - Standard List Rates
1,2,20,10.62,2015 - Standard List Rates
1,3,20,11.98,2015 - Standard List Rates
1,4,20,12.23,2015 - Standard List Rates
1,5,20,14.64,2015 - Standard List Rates
1,6,20,17.38,2015 - Standard List Rates
1,7,20,20.95,2015 - Standard List Rates
1,8,20,23.73,2015 - Standard List Rates
1,2,21,10.95,2015 - Standard List Rates
1,3,21,12.46,2015 - Standard List Rates
1,4,21,12.77,2015 - Standard List Rates
1,5,21,14.95,2015 - Standard List Rates
1,6,21,18.09,2015 - Standard List Rates
1,7,21,21.74,2015 - Standard List Rates
1,8,21,24.68,2015 - Standard List Rates
1,2,22,11.19,2015 - Standard List Rates
1,3,22,12.69,2015 - Standard List Rates
1,4,22,13.24,2015 - Standard List Rates
1,5,22,15.64,2015 - Standard List Rates
1,6,22,18.83,2015 - Standard List Rates
1,7,22,22.54,2015 - Standard List Rates
1,8,22,25.76,2015 - Standard List Rates
1,2,23,11.31,2015 - Standard List Rates
1,3,23,13.03,2015 - Standard List Rates
1,4,23,13.66,2015 - Standard List Rates
1,5,23,16.1,2015 - Standard List Rates
1,6,23,19.54,2015 - Standard List Rates
1,7,23,23.29,2015 - Standard List Rates
1,8,23,26.79,2015 - Standard List Rates
1,2,24,11.53,2015 - Standard List Rates
1,3,24,13.33,2015 - Standard List Rates
1,4,24,14.1,2015 - Standard List Rates
1,5,24,16.61,2015 - Standard List Rates
1,6,24,20.28,2015 - Standard List Rates
1,7,24,24.09,2015 - Standard List Rates
1,8,24,27.85,2015 - Standard List Rates
1,2,25,11.66,2015 - Standard List Rates
1,3,25,13.48,2015 - Standard List Rates
1,4,25,14.27,2015 - Standard List Rates
1,5,25,17.09,2015 - Standard List Rates
1,6,25,20.98,2015 - Standard List Rates
1,7,25,24.84,2015 - Standard List Rates
1,8,25,28.88,2015 - Standard List Rates
1,2,26,12.11,2015 - Standard List Rates
1,3,26,13.94,2015 - Standard List Rates
1,4,26,14.87,2015 - Standard List Rates
1,5,26,17.62,2015 - Standard List Rates
1,6,26,21.75,2015 - Standard List Rates
1,7,26,25.91,2015 - Standard List Rates
1,8,26,29.85,2015 - Standard List Rates
1,2,27,12.39,2015 - Standard List Rates
1,3,27,14.28,2015 - Standard List Rates
1,4,27,15.02,2015 - Standard List Rates
1,5,27,17.9,2015 - Standard List Rates
1,6,27,22.46,2015 - Standard List Rates
1,7,27,26.38,2015 - Standard List Rates
1,8,27,30.87,2015 - Standard List Rates
1,2,28,12.61,2015 - Standard List Rates
1,3,28,14.62,2015 - Standard List Rates
1,4,28,15.72,2015 - Standard List Rates
1,5,28,18.72,2015 - Standard List Rates
1,6,28,23.51,2015 - Standard List Rates
1,7,28,27.51,2015 - Standard List Rates
1,8,28,31.94,2015 - Standard List Rates
1,2,29,12.88,2015 - Standard List Rates
1,3,29,14.89,2015 - Standard List Rates
1,4,29,16.17,2015 - Standard List Rates
1,5,29,19.15,2015 - Standard List Rates
1,6,29,24.18,2015 - Standard List Rates
1,7,29,28.19,2015 - Standard List Rates
1,8,29,32.9,2015 - Standard List Rates
1,2,30,13.01,2015 - Standard List Rates
1,3,30,15.26,2015 - Standard List Rates
1,4,30,16.65,2015 - Standard List Rates
1,5,30,19.72,2015 - Standard List Rates
1,6,30,24.57,2015 - Standard List Rates
1,7,30,28.53,2015 - Standard List Rates
1,8,30,33.95,2015 - Standard List Rates
1,2,31,13.2,2015 - Standard List Rates
1,3,31,15.34,2015 - Standard List Rates
1,4,31,16.71,2015 - Standard List Rates
1,5,31,19.85,2015 - Standard List Rates
1,6,31,25.08,2015 - Standard List Rates
1,7,31,29.15,2015 - Standard List Rates
1,8,31,34.74,2015 - Standard List Rates
1,2,32,13.21,2015 - Standard List Rates
1,3,32,15.52,2015 - Standard List Rates
1,4,32,17.16,2015 - Standard List Rates
1,5,32,20.4,2015 - Standard List Rates
1,6,32,25.8,2015 - Standard List Rates
1,7,32,29.94,2015 - Standard List Rates
1,8,32,35.79,2015 - Standard List Rates
1,2,33,13.43,2015 - Standard List Rates
1,3,33,16.02,2015 - Standard List Rates
1,4,33,17.75,2015 - Standard List Rates
1,5,33,21.15,2015 - Standard List Rates
1,6,33,26.48,2015 - Standard List Rates
1,7,33,30.72,2015 - Standard List Rates
1,8,33,36.76,2015 - Standard List Rates
1,2,34,13.51,2015 - Standard List Rates
1,3,34,16.22,2015 - Standard List Rates
1,4,34,18.14,2015 - Standard List Rates
1,5,34,21.48,2015 - Standard List Rates
1,6,34,27.23,2015 - Standard List Rates
1,7,34,31.54,2015 - Standard List Rates
1,8,34,37.79,2015 - Standard List Rates
1,2,35,13.75,2015 - Standard List Rates
1,3,35,16.76,2015 - Standard List Rates
1,4,35,18.57,2015 - Standard List Rates
1,5,35,22,2015 - Standard List Rates
1,6,35,27.9,2015 - Standard List Rates
1,7,35,32.34,2015 - Standard List Rates
1,8,35,38.79,2015 - Standard List Rates
1,2,36,13.95,2015 - Standard List Rates
1,3,36,16.93,2015 - Standard List Rates
1,4,36,18.9,2015 - Standard List Rates
1,5,36,22.76,2015 - Standard List Rates
1,6,36,28.6,2015 - Standard List Rates
1,7,36,33.14,2015 - Standard List Rates
1,8,36,39.56,2015 - Standard List Rates
1,2,37,14.32,2015 - Standard List Rates
1,3,37,17.31,2015 - Standard List Rates
1,4,37,19.27,2015 - Standard List Rates
1,5,37,23.26,2015 - Standard List Rates
1,6,37,29.21,2015 - Standard List Rates
1,7,37,33.87,2015 - Standard List Rates
1,8,37,40.33,2015 - Standard List Rates
1,2,38,14.52,2015 - Standard List Rates
